variance,skewness,curtosis,entropy,label
0.4283,-0.94981,-1.0731,0.3211,real
1.5904,2.2121,-3.1183,-0.11725,real
1.7425,3.6833,-4.0129,-1.7207,real
-0.23356,3.2405,-3.0669,-2.7784,real
-3.6227,3.9958,-0.35845,-3.9047,real
-6.1536,7.9295,0.61663,-3.2646,real
-3.9172,2.6652,0.78886,-0.7819,real
-2.2214,-0.23798,0.56008,0.05602,real
-0.49241,0.89392,-1.6283,-0.56854,real
0.26517,2.4066,-2.8416,-0.59958,real
-0.10234,1.8189,-2.2169,-0.56725,real
-1.6176,1.0926,-0.35502,-0.59958,real
-1.8448,1.254,0.27218,-1.0728,real
-1.2786,-2.4087,4.5735,0.47627,real
-2.902,-7.6563,11.8318,-0.84268,real
-4.3773,-5.5167,10.939,-0.4082,real
-2.0529,3.8385,-0.79544,-1.2138,real
0.18868,0.70148,-0.51182,0.0055892,real
-1.7279,-6.841,8.9494,0.68058,real
-3.3793,-13.7731,17.9274,-2.0323,real
-3.1273,-7.1121,11.3897,-0.083634,real
-2.121,-0.05588,1.949,1.353,real
-1.7697,3.4329,-1.2144,-2.3789,real
-0.0012852,0.13863,-0.19651,0.0081754,real
-1.682,-6.8121,7.1398,1.3323,real
-3.4917,-12.1736,14.3689,-0.61639,real
-3.1158,-8.6289,10.4403,0.97153,real
-2.0891,-0.48422,1.704,1.7435,real
-1.6936,2.7852,-2.1835,-1.9276,real
-1.2846,3.2715,-1.7671,-3.2608,real
-0.092194,0.39315,-0.32846,-0.13794,real
-1.0292,-6.3879,5.5255,0.79955,real
-2.2083,-9.1069,8.9991,-0.28406,real
-1.0744,-6.3113,5.355,0.80472,real
-0.51003,-0.23591,0.020273,0.76334,real
-0.36372,3.0439,-3.4816,-2.7836,real
-6.3979,6.4479,1.0836,-6.6176,real
-2.2501,3.3129,-0.88369,-2.8974,real
-1.1859,-1.2519,2.2635,0.77239,real
-1.8076,-8.8131,8.7086,-0.21682,real
-3.3863,-12.9889,13.0545,-2.7202,real
-1.4106,-7.108,5.6454,0.31335,real
-0.21394,-0.68287,0.096532,1.1965,real
0.48797,3.5674,-4.3882,-3.8116,real
-3.8167,5.1401,-0.65063,-5.4306,real
-1.9555,0.20692,1.2473,-0.3707,real
-2.1786,-6.4479,6.0344,-0.20777,real
-2.3299,-9.9532,8.4756,-1.8733,real
0.0031201,-4.0061,1.7956,0.91722,real
1.3518,1.0595,-2.3437,0.39998,real
1.2309,3.8923,-4.8277,-4.0069,real
-5.0301,7.5032,-0.13396,-7.5034,real
-3.0799,0.60836,2.7039,-0.23751,real
-2.2987,-5.227,5.63,0.91722,real
-1.239,-6.541,4.8151,-0.033204,real
0.75896,0.29176,-1.6506,0.83834,real
1.6799,4.2068,-4.5398,-2.3931,real
0.63655,5.2022,-5.2159,-6.1211,real
-6.0598,9.2952,-0.43642,-6.3694,real
-3.518,2.8763,0.1548,-1.2086,real
-2.0336,-1.4092,1.1582,0.36507,real
-0.69745,-1.7672,-0.34474,-0.12372,real
0.75108,1.9161,-3.1098,-0.20518,real
0.84546,3.4826,-3.6307,-1.3961,real
-0.55648,3.2136,-3.3085,-2.7965,real
-3.6817,3.2239,-0.69347,-3.4004,real
-6.7526,8.8172,-0.061983,-3.725,real
-4.577,3.4515,0.66719,-0.94742,real
-2.9883,0.31245,0.45041,0.068951,real
-1.4781,0.14277,-1.1622,-0.48579,real
-0.46651,2.3383,-2.9812,-1.0431,real
-0.8734,1.6533,-2.1964,-0.78061,real
-2.1234,1.1815,-0.55552,-0.81165,real
-2.3142,2.0838,-0.46813,-1.6767,real
-1.4233,-0.98912,2.3586,0.39481,real
-3.0866,-6.6362,10.5405,-0.89182,real
-4.7331,-6.1789,11.388,-1.0741,real
-2.8829,3.8964,-0.1888,-1.1672,real
-0.036127,1.525,-1.4089,-0.76121,real
-1.7104,-4.778,6.2109,0.3974,real
-3.8203,-13.0551,16.9583,-2.3052,real
-3.7181,-8.5089,12.363,-0.95518,real
-2.899,-0.60424,2.6045,1.3776,real
-0.98193,2.7956,-1.2341,-1.5668,real
-0.17296,-1.1816,1.3818,0.7336,real
-1.9409,-8.6848,9.155,0.94049,real
-3.5713,-12.4922,14.8881,-0.47027,real
-2.9915,-6.6258,8.6521,1.8198,real
-1.8483,0.31038,0.77344,1.4189,real
-2.2677,3.2964,-2.2563,-2.4642,real
-0.50816,2.868,-1.8108,-2.2612,real
0.14329,-1.0885,1.0039,0.48791,real
-0.90784,-7.9026,6.7807,0.34179,real
-2.0042,-9.3676,9.3333,-0.10303,real
-0.93587,-5.1008,4.5367,1.3866,real
-0.40804,0.54214,-0.52725,0.6586,real
-0.8172,3.3812,-3.6684,-3.456,real
-4.8392,6.6755,-0.24278,-6.5775,real
-1.2792,2.1376,-0.47584,-1.3974,real
-0.66008,-3.226,3.8058,1.1836,real
-1.7713,-10.7665,10.2184,-1.0043,real
-3.0061,-12.2377,11.9552,-2.1603,real
-1.1022,-5.8395,4.5641,0.68705,real
0.11806,0.39108,-0.98223,0.42843,real
0.11686,3.735,-4.4379,-4.3741,real
-2.7264,3.9213,-0.49212,-3.6371,real
-1.2369,-1.6906,2.518,0.51636,real
-1.8439,-8.6475,7.6796,-0.66682,real
-1.8554,-9.6035,7.7764,-0.97716,real
0.16358,-3.3584,1.3749,1.3569,real
1.5077,1.9596,-3.0584,-0.12243,real
0.67886,4.1199,-4.569,-4.1414,real
-3.9934,5.8333,0.54723,-4.9379,real
-2.3898,-0.78427,3.0141,0.76205,real
-1.7976,-6.7686,6.6753,0.89912,real
-0.70867,-5.5602,4.0483,0.903,real
1.0194,1.1029,-2.3,0.59395,real
1.7875,4.78,-5.1362,-3.2362,real
0.27331,4.8773,-4.9194,-5.8198,real
-5.1661,8.0433,0.044265,-4.4983,real
-2.7028,1.6327,0.83598,-0.091393,real
-1.4904,-2.2183,1.6054,0.89394,real
-0.014902,-1.0243,-0.94024,0.64955,real
0.88992,2.2638,-3.1046,-0.11855,real
1.0637,3.6957,-4.1594,-1.9379,real
-0.8471,3.1329,-3.0112,-2.9388,real
-3.9594,4.0289,-0.35845,-3.8957,real
-5.8818,7.6584,0.5558,-2.9155,real
-3.7747,2.5162,0.83341,-0.30993,real
-2.4198,-0.24418,0.70146,0.41809,real
-0.83535,0.80494,-1.6411,-0.19225,real
-0.30432,2.6528,-2.7756,-0.65647,real
-0.60254,1.7237,-2.1501,-0.77027,real
-2.1059,1.1815,-0.53324,-0.82716,real
-2.0441,1.2271,0.18564,-1.091,real
-1.5621,-2.2121,4.2591,0.27972,real
-3.2305,-7.2135,11.6433,-0.94613,real
-4.8426,-4.9932,10.4052,-0.53104,real
-2.3147,3.6668,-0.6969,-1.2474,real
-0.11716,0.60422,-0.38587,-0.059065,real
-2.0066,-6.719,9.0162,0.099985,real
-3.6961,-13.6779,17.5795,-2.6181,real
-3.6012,-6.5389,10.5234,-0.48967,real
-2.6286,0.18002,1.7956,0.97282,real
-0.82601,2.9611,-1.2864,-1.4647,real
0.31803,-0.99326,1.0947,0.88619,real
-1.4454,-8.4385,8.8483,0.96894,real
-3.1423,-13.0365,15.6773,-0.66165,real
-2.5373,-6.959,8.8054,1.5289,real
-1.366,0.18416,0.90539,1.5806,real
-1.7064,3.3088,-2.2829,-2.1978,real
-0.41965,2.9094,-1.7859,-2.2069,real
0.37637,-0.82358,0.78543,0.74524,real
-0.55355,-7.9233,6.7156,0.74394,real
-1.6001,-9.5828,9.4044,0.081882,real
-0.37013,-5.554,4.7749,1.547,real
0.12126,0.22347,-0.47327,0.97024,real
-0.27068,3.2674,-3.5562,-3.0888,real
-5.119,6.6486,-0.049987,-6.5206,real
-1.3946,2.3134,-0.44499,-1.4905,real
-0.69879,-3.3771,4.1211,1.5043,real
-1.48,-10.5244,9.9176,-0.5026,real
-2.6649,-12.813,12.6689,-1.9082,real
-0.62684,-6.301,4.7843,1.106,real
0.518,0.25865,-0.84085,0.96118,real
0.64376,3.764,-4.4738,-4.0483,real
-2.9821,4.1986,-0.5898,-3.9642,real
-1.4628,-1.5706,2.4357,0.49826,real
-1.7101,-8.7903,7.9735,-0.45475,real
-1.5572,-9.8808,8.1088,-1.0806,real
0.74428,-3.7723,1.6131,1.5754,real
2.0177,1.7982,-2.9581,0.2099,real
1.164,3.913,-4.5544,-3.8672,real
-4.3667,6.0692,0.57208,-5.4668,real
-2.5919,-1.0553,3.8949,0.77757,real
-1.8046,-6.8141,6.7019,1.1681,real
-0.71868,-5.7154,3.8298,1.0233,real
1.4378,0.66837,-2.0267,1.0271,real
2.1943,4.5503,-4.976,-2.7254,real
0.7376,4.8525,-4.7986,-5.6659,real
-5.637,8.1261,0.13081,-5.0142,real
-3.0193,1.7775,0.73745,-0.45346,real
-1.6706,-2.09,1.584,0.71162,real
-0.1269,-1.1505,-0.95138,0.57843,real
1.2198,2.0982,-3.1954,0.12843,real
1.4501,3.6067,-4.0557,-1.5966,real
-0.40857,3.0977,-2.9607,-2.6892,real
-3.8952,3.8157,-0.31304,-3.8194,real
-6.3679,8.0102,0.4247,-3.2207,real
-4.1429,2.7749,0.68261,-0.71984,real
-2.6864,-0.097265,0.61663,0.061192,real
-1.0555,0.79459,-1.6968,-0.46768,real
-0.29858,2.4769,-2.9512,-0.66165,real
-0.49948,1.7734,-2.2469,-0.68104,real
-1.9881,0.99945,-0.28562,-0.70044,real
-1.9389,1.5706,0.045979,-1.122,real
-1.4375,-1.8624,4.026,0.55127,real
-3.1875,-7.5756,11.8678,-0.57889,real
-4.6765,-5.6636,10.969,-0.33449,real
-2.0285,3.8468,-0.63435,-1.175,real
0.26637,0.73252,-0.67891,0.03533,real
-1.7589,-6.4624,8.4773,0.31981,real
-3.5985,-13.6593,17.6052,-2.4927,real
-3.3582,-7.2404,11.4419,-0.57113,real
-2.3629,-0.10554,1.9336,1.1358,real
-2.1802,3.3791,-1.2256,-2.6621,real
-0.40951,-0.15521,0.060545,-0.088807,real
-2.2918,-7.257,7.9597,0.9211,real
-4.0214,-12.8006,15.6199,-0.95647,real
-3.3884,-8.215,10.3315,0.98187,real
-2.0046,-0.49457,1.333,1.6543,real
-1.7063,2.7956,-2.378,-2.3491,real
-1.6386,3.3584,-1.7302,-3.5646,real
-0.41645,0.32487,-0.33617,-0.36036,real
-1.5877,-6.6072,5.8022,0.31593,real
-2.5961,-9.349,9.7942,-0.28018,real
-1.5228,-6.4789,5.7568,0.87325,real
-0.53072,-0.097265,-0.21793,1.0426,real
-0.49081,2.8452,-3.6436,-3.1004,real
-6.5773,6.8017,0.85483,-7.5344,real
-2.4621,2.7645,-0.62578,-2.8573,real
-1.3995,-1.9162,2.5154,0.59912,real
-2.3221,-9.3304,9.233,-0.79871,real
-3.73,-12.9723,12.9817,-2.684,real
-1.6988,-7.1163,5.7902,0.16723,real
-0.26654,-0.64562,-0.42014,0.89136,real
0.33325,3.3108,-4.5081,-4.012,real
-4.2091,4.7283,-0.49126,-5.2159,real
-2.3142,-0.68494,1.9833,-0.44829,real
-2.4835,-7.4494,6.8964,-0.64484,real
-2.7611,-10.5099,9.0239,-1.9547,real
-0.36025,-4.449,2.1067,0.94308,real
1.0117,0.9022,-2.3506,0.42714,real
0.96708,3.8426,-4.9314,-4.1323,real
-5.2049,7.259,0.070827,-7.3004,real
-3.3203,-0.02691,2.9618,-0.44958,real
-2.565,-5.7899,6.0122,0.046968,real
-1.5951,-6.572,4.7689,-0.94354,real
0.7049,0.17174,-1.7859,0.36119,real
1.7331,3.9544,-4.7412,-2.5017,real
0.6818,4.8504,-5.2133,-6.1043,real
-6.3364,9.2848,0.014275,-6.7844,real
-3.8053,2.4273,0.6809,-1.0871,real
-2.1979,-2.1252,1.7151,0.45171,real
-0.87874,-2.2121,-0.051701,0.099985,real
0.74067,1.7299,-3.1963,-0.1457,real
0.98296,3.4226,-3.9692,-1.7116,real
-0.3489,3.1929,-3.4054,-3.1832,real
-3.8552,3.5219,-0.38415,-3.8608,real
-6.9599,8.9931,0.2182,-4.572,real
-4.7462,3.1205,1.075,-1.2966,real
-3.2051,-0.14279,0.97565,0.045675,real
-1.7549,-0.080711,-0.75774,-0.3707,real
-0.59587,2.4811,-2.8673,-0.89828,real
-0.89542,2.0279,-2.3652,-1.2746,real
-2.0754,1.2767,-0.64206,-1.2642,real
-3.2778,1.8023,0.1805,-2.3931,real
-2.2183,-1.254,2.9986,0.36378,real
-3.5895,-6.572,10.5251,-0.16381,real
-5.0477,-5.8023,11.244,-0.3901,real
-3.5741,3.944,-0.07912,-2.1203,real
-0.7351,1.7361,-1.4938,-1.1582,real
-2.2617,-4.7428,6.3489,0.11162,real
-4.244,-13.0634,17.1116,-2.8017,real
-4.0218,-8.304,12.555,-1.5099,real
-3.0201,-0.67253,2.7056,0.85774,real
-2.4941,3.5447,-1.3721,-2.8483,real
-0.83121,0.039307,0.05369,-0.23105,real
-2.5665,-6.8824,7.5416,0.70774,real
-4.4018,-12.9371,15.6559,-1.6806,real
-3.7573,-8.2916,10.3032,0.38059,real
-2.4725,-0.40145,1.4855,1.1189,real
-1.9725,2.8825,-2.3086,-2.3724,real
-2.0149,3.6874,-1.9385,-3.8918,real
-0.82053,0.65181,-0.48869,-0.52716,real
-1.7886,-6.3486,5.6154,0.42584,real
-2.9138,-9.4711,9.7668,-0.60216,real
-1.8343,-6.5907,5.6429,0.54998,real
-0.8734,-0.033118,-0.20165,0.55774,real
-0.70346,2.957,-3.5947,-3.1457,real
-6.7387,6.9879,0.67833,-7.5887,real
-2.7723,3.2777,-0.9351,-3.1457,real
-1.6641,-1.3678,1.997,0.52283,real
-2.4349,-9.2497,8.9922,-0.50001,real
-3.793,-12.7095,12.7957,-2.825,real
-1.9551,-6.9756,5.5383,-0.12889,real
-0.69078,-0.50077,-0.35417,0.47498,real
0.025013,3.3998,-4.4327,-4.2655,real
-4.3967,4.9601,-0.64892,-5.4719,real
-2.456,-0.24418,1.4041,-0.45863,real
-2.62,-6.8555,6.2169,-0.62285,real
-2.9662,-10.3257,8.784,-2.1138,real
-0.71494,-4.4448,2.2241,0.49826,real
0.6005,0.99945,-2.2126,0.097399,real
0.61652,3.8944,-4.7275,-4.3948,real
-5.4414,7.2363,0.10938,-7.5642,real
-3.5798,0.45937,2.3457,-0.45734,real
-2.7769,-5.6967,5.9179,0.37671,real
-1.8356,-6.7562,5.0585,-0.55044,real
0.30081,0.17381,-1.7542,0.48921,real
1.3403,4.1323,-4.7018,-2.5987,real
0.26877,4.987,-5.1508,-6.3913,real
-6.5235,9.6014,-0.25392,-6.9642,real
-4.0679,2.4955,0.79571,-1.1039,real
-2.564,-1.7051,1.5026,0.32757,real
-1.3414,-1.9162,-0.15538,-0.11984,real
0.23874,2.0879,-3.3522,-0.66553,real
0.6212,3.6771,-4.0771,-2.0711,real
-0.77848,3.4019,-3.4859,-3.5569,real
-4.1244,3.7909,-0.6532,-4.1802,real
-7.0421,9.2,0.25933,-4.6832,real
-4.9462,3.5716,0.82742,-1.4957,real
-3.5359,0.30417,0.6569,-0.2957,real
-2.0662,0.16967,-1.0054,-0.82975,real
-0.88728,2.808,-3.1432,-1.2035,real
-1.0941,2.3072,-2.5237,-1.4453,real
-2.4458,1.6285,-0.88541,-1.4802,real
-3.551,1.8955,0.1865,-2.4409,real
-2.2811,-0.85669,2.7185,0.044382,real
-3.6053,-5.974,10.0916,-0.82846,real
-5.0676,-5.1877,10.4266,-0.86725,real
-3.9204,4.0723,-0.23678,-2.1151,real
-1.1306,1.8458,-1.3575,-1.3806,real
-2.4561,-4.5566,6.4534,-0.056479,real
-4.4775,-13.0303,17.0834,-3.0345,real
-4.1958,-8.1819,12.1291,-1.6017,real
-3.38,-0.7077,2.5325,0.71808,real
-2.4365,3.6026,-1.4166,-2.8948,real
-0.77688,0.13036,-0.031137,-0.35389,real
-2.7083,-6.8266,7.5339,0.59007,real
-4.5531,-12.5854,15.4417,-1.4983,real
-3.8894,-7.8322,9.8208,0.47498,real
-2.5084,-0.22763,1.488,1.2069,real
-2.1652,3.0211,-2.4132,-2.4241,real
-1.8974,3.5074,-1.7842,-3.8491,real
-0.62043,0.5587,-0.38587,-0.66423,real
-1.8387,-6.301,5.6506,0.19567,real
-3,-9.1566,9.5766,-0.73018,real
-1.9116,-6.1603,5.606,0.48533,real
-1.005,0.084831,-0.2462,0.45688,real
-0.87834,3.257,-3.6778,-3.2944,real
-6.651,6.7934,0.68604,-7.5887,real
-2.5463,3.1101,-0.83228,-3.0358,real
-1.4377,-1.432,2.1144,0.42067,real
-2.4554,-9.0407,8.862,-0.86983,real
-3.9411,-12.8792,13.0597,-3.3125,real
-2.1241,-6.8969,5.5992,-0.47156,real
-0.74324,-0.32902,-0.42785,0.23317,real
-0.071503,3.7412,-4.5415,-4.2526,real
-4.2333,4.9166,-0.49212,-5.3207,real
-2.3675,-0.43663,1.692,-0.43018,real
-2.5526,-7.3625,6.9255,-0.66811,real
-3.0986,-10.4602,8.9717,-2.3427,real
-0.89809,-4.4862,2.2009,0.50731,real
0.56232,1.0015,-2.2726,-0.0060486,real
0.53936,3.8944,-4.8166,-4.3418,real
-5.3012,7.3915,0.029699,-7.3987,real
-3.3553,0.35591,2.6473,-0.37846,real
-2.7908,-5.7133,5.953,0.45946,real
-1.9983,-6.6072,4.8254,-0.41984,real
0.15423,0.11794,-1.6823,0.59524,real
1.208,4.0744,-4.7635,-2.6129,real
0.2952,4.8856,-5.149,-6.2323,real
-6.4247,9.5311,0.022844,-6.8517,real
-3.9933,2.6218,0.62863,-1.1595,real
-2.659,-1.6058,1.3647,0.16464,real
-1.4094,-2.1252,-0.10397,-0.19225,real
0.11032,1.9741,-3.3668,-0.65259,real
0.52374,3.644,-4.0746,-1.9909,real
-0.76794,3.4598,-3.4405,-3.4276,real
-3.9698,3.6812,-0.60008,-4.0133,real
-7.0364,9.2931,0.16594,-4.5396,real
-4.9447,3.3005,1.063,-1.444,real
-3.5933,0.22968,0.7126,-0.3332,real
-2.1674,0.12415,-1.0465,-0.86208,real
-0.9607,2.6963,-3.1226,-1.3121,real
-1.0802,2.1996,-2.5862,-1.2759,real
-2.3277,1.4381,-0.82114,-1.2862,real
-3.7244,1.9037,-0.035421,-2.5095,real
-2.5724,-0.95602,2.7073,-0.16639,real
-3.9297,-6.0816,10.0958,-1.0147,real
-5.2943,-5.1463,10.3332,-1.1181,real
-3.8953,4.0392,-0.3019,-2.1836,real
-1.2244,1.7485,-1.4801,-1.4181,real
-2.6406,-4.4159,5.983,-0.13924,real
-4.6338,-12.7509,16.7166,-3.2168,real
-4.2887,-7.8633,11.8387,-1.8978,real
-3.3458,-0.50491,2.6328,0.53705,real
-1.1188,3.3357,-1.3455,-1.9573,real
0.55939,-0.3104,0.18307,0.44653,real
-1.5078,-7.3191,7.8981,1.2289,real
-3.506,-12.5667,15.1606,-0.75216,real
-2.9498,-8.273,10.2646,1.1629,real
-1.6029,-0.38903,1.62,1.9103,real
-1.2667,2.8183,-2.426,-1.8862,real
-0.49281,3.0605,-1.8356,-2.834,real
0.66365,-0.045533,-0.18794,0.23447,real
-0.72068,-6.7583,5.8408,0.62369,real
-1.9966,-9.5001,9.682,-0.12889,real
-0.97325,-6.4168,5.6026,1.0323,real
-0.025314,-0.17383,-0.11339,1.2198,real
0.062525,2.9301,-3.5467,-2.6737,real
-5.525,6.3258,0.89768,-6.6241,real
-1.2943,2.6735,-0.84085,-2.0323,real
-0.24037,-1.7837,2.135,1.2418,real
-1.3968,-9.6698,9.4652,-0.34872,real
-2.9672,-13.2869,13.4727,-2.6271,real
-1.1005,-7.2508,6.0139,0.36895,real
0.22432,-0.52147,-0.40386,1.2017,real
0.90407,3.3708,-4.4987,-3.6965,real
-2.8619,4.5193,-0.58123,-4.2629,real
-1.0833,-0.31247,1.2815,0.41291,real
-1.5681,-7.2446,6.5537,-0.1276,real
-2.0545,-10.8679,9.4926,-1.4116,real
0.2346,-4.5152,2.1195,1.4448,real
1.581,0.86909,-2.3138,0.82412,real
1.5514,3.8013,-4.9143,-3.7483,real
-4.1479,7.1225,-0.083404,-6.4172,real
-2.2625,-0.099335,2.8127,0.48662,real
-1.7479,-5.823,5.8699,1.212,real
-0.95923,-6.7128,4.9857,0.32886,real
1.3451,0.23589,-1.8785,1.3258,real
2.2279,4.0951,-4.8037,-2.1112,real
1.2572,4.8731,-5.2861,-5.8741,real
-5.3857,9.1214,-0.41929,-5.9181,real
-2.9786,2.3445,0.52667,-0.40173,real
-1.5851,-2.1562,1.7082,0.9017,real
-0.21888,-2.2038,-0.0954,0.56421,real
1.3183,1.9017,-3.3111,0.065071,real
1.4896,3.4288,-4.0309,-1.4259,real
0.11592,3.2219,-3.4302,-2.8457,real
-3.3924,3.3564,-0.72004,-3.5233,real
-6.1632,8.7096,-0.21621,-3.6345,real
-4.0786,2.9239,0.87026,-0.65389,real
-2.5899,-0.3911,0.93452,0.42972,real
-1.0116,-0.19038,-0.90597,0.003003,real
0.066129,2.4914,-2.9401,-0.62156,real
-0.24745,1.9368,-2.4697,-0.80518,real
-1.5732,1.0636,-0.71232,-0.8388,real
-2.1668,1.5933,0.045122,-1.678,real
-1.1667,-1.4237,2.9241,0.66119,real
-2.8391,-6.63,10.4849,-0.42113,real
-4.5046,-5.8126,10.8867,-0.52846,real
-2.41,3.7433,-0.40215,-1.2953,real
0.40614,1.3492,-1.4501,-0.55949,real
-1.3887,-4.8773,6.4774,0.34179,real
-3.7503,-13.4586,17.5932,-2.7771,real
-3.5637,-8.3827,12.393,-1.2823,real
-2.5419,-0.65804,2.6842,1.1952,real
